id,created_at,conversation_id,text,author_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1.4997264487053804e+18,2022-03-04T12:40:23.000Z,1.4997264487053804e+18,Kreml odmawia bezpośredniej rozmowy Putina i Zełenskiego - Pieskow #Ukraine #war #stopputinnow,1.4875315863546593e+18,0,0,2,0
1.4997263848806277e+18,2022-03-04T12:40:08.000Z,1.4997263848806277e+18,"💙💛W tej nienormalnej sytuacji, wiele rzeczy wygląda normalnie... ale to może po prostu taki człowiek ten @ZelenskyyUa  
#StopPutinNOW #StopWarInUkraine https://t.co/6JKq7LejZg",2151296078.0,0,0,1,0
1.49972627107652e+18,2022-03-04T12:39:41.000Z,1.49972627107652e+18,Rejon #Bucha teraz obwod Kijowski #Ukraine #StopPutinNOW #war #Russian https://t.co/buPYu5hN5z,1.4875315863546593e+18,0,0,2,0
1.499725866158461e+18,2022-03-04T12:38:04.000Z,1.499725866158461e+18,📻 #CompleteMess było wczoraj (03/03) grane w stacji @MUZO_FM.,1.4953379745564672e+18,0,0,2,0
1.4997270406936044e+18,2022-03-04T12:42:44.000Z,1.4997270406936044e+18,"Tego się obawiałam pamiętając opowieści kobiet, które przeżyły przemarsz przez Polskę sowietów w trakcie II wojny światowej. Ruska swołocz nigdy się nie zmieni. Wymiotować mi się chce ze wściekłości. #RussianUkrainianWar https://t.co/uBOzVhpJ2G",7.510257782094889e+17,0,0,2,0
1.499726839375401e+18,2022-03-04T12:41:56.000Z,1.499726839375401e+18,"RT @FlashNewsPoland: ❗️Część niemieckich pocisków dla Ukrainy nie nadaje się do użytku - Der Spiegel
#RussianUkrainianWar #Ukriane #wojna #…",2590469933.0,1,0,0,0
1.4997260283815608e+18,2022-03-04T12:38:43.000Z,1.4997260283815608e+18,"Mieszkańcy Energodaru publikują nagrania z obecności rosyjskich sił zbrojnych w mieście.
#Energodar #Enerhodar #Russian #russianoccupants #RussianUkrainianWar #UkraineRussiaWar #Putin #PutinWarCrimes https://t.co/jNBJrjffQ1",533564405.0,0,0,0,0
1.4997260108158198e+18,2022-03-04T12:38:39.000Z,1.4997260108158198e+18,"RT @boniabonia2: Najlepszy wybór, jakiego dokonał Ukraina 🇺🇦❤️
#Ukraina #wojna #wojnanaukrainie #RussianUkrainianWar #Ukriane https://t.co/…",1.497324490711343e+18,59,0,0,0
1.4997259885649797e+18,2022-03-04T12:38:33.000Z,1.4997259885649797e+18,"❗️Część niemieckich pocisków dla Ukrainy nie nadaje się do użytku - Der Spiegel
#RussianUkrainianWar #Ukriane #wojna #kijów #NATO
.
Źródło:@WarNewsPL1",1.2040383773031342e+18,1,0,5,0
1.499727766404612e+18,2022-03-04T12:45:37.000Z,1.499727766404612e+18,"RT @rdcpolskieradio: Wojna radykalnie zmieniła życie nas wszystkich – mówił prosto z Kijowa w „Poranku RDC” ojciec Jarosław Krawiec, domini…",9.035503291360132e+17,2,0,0,0
1.4997271787239956e+18,2022-03-04T12:43:17.000Z,1.4997271787239956e+18,"Rosyjski parlament uchwalił ustawę nakładającą do 15lat więzienia za szerzenie ""nieprawdziwych"" informacji na temat działań wojskowych na Ukrainie. #WojnaWUkrainie",1.488947490636415e+18,0,0,0,0
1.4997259427548774e+18,2022-03-04T12:38:22.000Z,1.4997259427548774e+18,"Melitopol cz.2. Od kilku dni pod ruską okupacją. Manifestacja ""wyzwolonych ruskich"" jak mówią w moskwie... Ukraińcy się nie poddają!! #Ukraine #StopPutin #WojnaWUkrainie #UkraineRussia #Україні #Украина #Melitpol https://t.co/Qhzv7xOhrK",1.4273322152355635e+18,0,0,1,0
1.4997257023164088e+18,2022-03-04T12:37:25.000Z,1.4997257023164088e+18,RT @wirtualnemedia: Prezydent Ukrainy Wołodymyr Zełenski przeżył w ciągu ostatniego tygodnia co najmniej trzy próby zamachu - podał w piąte…,1.289276336087892e+18,8,0,0,0
1.4997250501524644e+18,2022-03-04T12:34:50.000Z,1.4997250501524644e+18,"Oszwabili jak to Szwaby.
#WojnaWUkrainie https://t.co/l8iVHuDKG5",3641381775.0,0,0,5,0
1.4997246030270423e+18,2022-03-04T12:33:03.000Z,1.4997246030270423e+18,"Melitpol. Od kilku dni pod ruską okupacją. Manifestacja ""wyzwolonych ruskich"" jak mówią w moskwie... Ukraińcy się nie poddają!! #Ukraine #StopPutin #WojnaWUkrainie #UkraineRussia #Україні #Украина https://t.co/1LijUDQgY7",1.4273322152355635e+18,0,0,0,0
1.499724551231611e+18,2022-03-04T12:32:51.000Z,1.499724551231611e+18,"RT @kacperwierzba: Rosyjskie 🇷🇺 wojska weszły do Mikołajowa na południu Ukrainy, 🇺🇦 trwają walki. Rosjanie zajęli tam szkołę i zastrzelili…",1.427300168593023e+18,2,0,0,0
1.4997242203093852e+18,2022-03-04T12:31:32.000Z,1.4997242203093852e+18,"RT @BscScreamy: Niewiele, ale zawsze coś. Razem możemy wszystko 🇺🇦❤️ Zachęcam do wpłacania na zbiórki pomagające Ukraińcom 🙏 #wojna #WojnaW…",1.3719272891649352e+18,0,0,0,0
1.4997239587400417e+18,2022-03-04T12:30:29.000Z,1.4997239587400417e+18,"RT @indoda_ende: - Nie martwcie się kochani. Rozwalę ruskim siedem czołgów i zaraz wracam! 💪🤜
#Ukraina #rosja #WojnaWUkrainie #wojna #FreeU…",3065954853.0,1,0,0,0
